"STATION","NAME","DATE","CDSD","EMNT","EMXP","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"CS000081003","PUERTO LIMON, CS","1995-11","2652.2","21.0",,"31.6","0.0",,"25.7","28.9","22.5"
"CS000081003","PUERTO LIMON, CS","1995-12","2875.0","19.8",,"31.3","0.0",,"25.5","29.3","21.7"
"CS000081003","PUERTO LIMON, CS","1996-01","196.2","17.5",,"30.2","0.0",,"24.7","28.2","21.1"
"CS000081003","PUERTO LIMON, CS","1996-02","374.2","19.0",,"30.2","0.0",,"24.5","28.2","20.7"
"CS000081003","PUERTO LIMON, CS","1996-03","576.8","19.4",,"30.5","0.0",,"24.9","28.7","21.0"
"CS000081003","PUERTO LIMON, CS","1996-04","792.6","19.4",,"31.1","0.0",,"25.5","29.6","21.5"
"CS000081003","PUERTO LIMON, CS","1996-05","1039.6","21.1",,"31.4","0.0",,"26.3","29.8","22.8"
"CS000081003","PUERTO LIMON, CS","1996-06","1266.5","21.4",,"31.6","0.0",,"25.9","29.2","22.6"
"CS000081003","PUERTO LIMON, CS","1996-07","1507.4","20.5",,"31.6","0.0",,"26.1","29.8","22.4"
"CS000081003","PUERTO LIMON, CS","1996-08","1736.6","19.5",,"31.2","0.0",,"25.7","29.4","22.0"
"CS000081003","PUERTO LIMON, CS","1996-09","1980.6","21.5",,"31.9","0.0",,"26.5","30.4","22.5"
"CS000081003","PUERTO LIMON, CS","1996-10","2237.3","21.0",,"32.0","0.0",,"26.6","31.0","22.2"
"CS000081003","PUERTO LIMON, CS","1996-11","2459.9","19.0",,"32.0","0.0",,"25.8","29.6","21.9"
"CS000081003","PUERTO LIMON, CS","1996-12","2648.5","18.5",,"29.6","0.0",,"24.4","27.7","21.2"
"CS000081003","PUERTO LIMON, CS","1997-01","187.1","18.0",,"29.8","0.0",,"24.4","28.7","20.0"
"CS000081003","PUERTO LIMON, CS","1997-02","353.3","18.7",,"29.6","0.0",,"24.3","27.4","21.2"
"CS000081003","PUERTO LIMON, CS","1997-03","557.8","19.0",,"30.3","0.0",,"24.9","28.9","21.0"
"CS000081003","PUERTO LIMON, CS","1997-04","784.6","18.7",,"31.5","0.0",,"25.9","29.9","21.9"
"CS000081003","PUERTO LIMON, CS","1997-05","1020.4","21.5",,"31.7","0.0",,"25.9","29.1","22.8"
